id,Book Title,Price,Rate
81,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4
82,Beowulf,38.35,2
83,And Then There Were None,35.01,2
84,The Story of Hong Gildong,43.19,4
85,The Little Prince,45.42,2
86,Sense and Sensibility,37.46,1
87,Of Mice and Men,47.11,2
88,Emma,32.93,2
89,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1
90,Sophie's World,15.94,5
91,The Death of Humanity: and the Case for Life,58.11,4
92,The Stranger,17.44,4
93,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1
94,Kierkegaard: A Christian Missionary to Christians,47.13,1
95,"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5
96,Critique of Pure Reason,20.75,1
97,"Run, Spot, Run: The Ethics of Keeping Pets",20.02,1
98,The Nicomachean Ethics,36.34,1
99,Meditations,25.89,2
100,Beyond Good and Evil,43.38,1
101,Chase Me (Paris Nights #2),25.27,5
102,Black Dust,34.53,5
103,Her Backup Boyfriend (The Sorensen Family #1),33.97,1
104,First and First (Five Boroughs #3),15.97,4
105,Fifty Shades Darker (Fifty Shades #2),21.96,1
106,The Wedding Dress,24.12,1
107,Suddenly in Love (Lake Haven #1),55.99,2
108,Something More Than This,16.24,4
109,Doing It Over (Most Likely To #1),35.61,3
110,The Wedding Pact (The O'Malleys #2),32.61,3
111,Hold Your Breath (Search and Rescue #1),28.82,1
112,Dirty (Dive Bar #1),40.83,4
113,Take Me Home Tonight (Rock Star Romance #3),53.98,3
114,Off the Hook (Fishing for Trouble #1),47.67,3
115,A Gentleman's Position (Society of Gentlemen #3),14.75,5
116,"Sit, Stay, Love",20.9,3
117,A Girl's Guide to Moving On (New Beginnings #2),31.3,1
118,The Perfect Play (Play by Play #1),59.99,3
119,Dark Lover (Black Dagger Brotherhood #1),12.87,1
120,Changing the Game (Play by Play #2),13.38,3
121,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4
122,Will You Won't You Want Me?,13.86,3
123,Keep Me Posted,20.46,4
124,Grey (Fifty Shades #4),48.49,4
125,Meternity,43.58,3
126,Some Women,13.73,5
127,Shopaholic Ties the Knot (Shopaholic #3),48.39,5
128,Can You Keep a Secret?,21.94,1
129,Twenties Girl,42.8,2
130,The Undomestic Goddess,45.75,4
131,The Nanny Diaries (Nanny #1),52.53,5
132,The Devil Wears Prada (The Devil Wears Prada #1),44.29,1
133,Something Borrowed (Darcy & Rachel #1),48.96,5
134,Something Blue (Darcy & Rachel #2),54.62,1
135,I've Got Your Number,19.69,1
136,The Edge of Reason (Bridget Jones #2),19.18,4
137,Bridget Jones's Diary (Bridget Jones #1),29.82,1
138,Soumission,50.1,1
139,Private Paris (Private #10),47.61,5
140,"We Love You, Charlie Freeman",50.27,5
141,Thirst,17.27,5
142,The Murder That Never Was (Forensic Instincts #5),54.11,3
143,Tuesday Nights in 1980,21.04,2
144,The Vacationers,42.15,4
145,The Regional Office Is Under Attack!,51.36,5
146,Finders Keepers (Bill Hodges Trilogy #2),53.53,5
147,The Time Keeper,27.88,5
148,The Testament of Mary,52.67,4
149,The First Hostage (J.B. Collins #2),25.85,3
150,Take Me with You,45.21,3
151,Still Life with Bread Crumbs,26.41,3
152,Shtum,55.84,4
153,My Name Is Lucy Barton,41.56,1
154,My Mrs. Brown,24.48,3
155,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1
156,I Am Pilgrim (Pilgrim #1),10.6,4
157,Eligible (The Austen Project #4),27.09,3
158,Birdsong: A Story in Pictures,54.64,3
159,The Bear and the Piano,36.89,1
160,The Secret of Dreadwillow Carse,56.13,1
161,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4
162,Little Red,13.47,3
163,Walt Disney's Alice in Wonderland,12.96,5
164,Twenty Yawns,22.08,2
165,Rain Fish,23.57,3
166,Once Was a Time,18.28,2
167,Luis Paints the World,53.95,3
168,Nap-a-Roo,25.08,1
169,The Whale,35.96,4
170,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3
171,Raymie Nightingale,34.41,2
172,Playing from the Heart,32.38,1
173,Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,1
174,The Wild Robot,56.07,3
175,The Thing About Jellyfish,48.77,1
176,The Lonely Ones,43.59,5
177,The Day the Crayons Came Home (Crayons),26.33,5
178,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2
179,You Are What You Love: The Spiritual Power of Habit,21.87,4
180,God: The Most Unpleasant Character in All Fiction,30.03,5
181,The Book of Mormon,24.57,3
182,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,1
183,The Bhagavad Gita,57.49,3
184,Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,4
185,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5
186,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3
187,Reasons to Stay Alive,26.41,2
188,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5
189,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4
190,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3
191,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3
192,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1
193,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1
194,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4
195,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2
196,In the Country We Love: My Family Divided,22.0,4
197,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2
198,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5
199,Algorithms to Live By: The Computer Science of Human Decisions,30.81,1
200,The Power of Now: A Guide to Spiritual Enlightenment,43.54,2
201,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2
202,The Genius of Birds,17.24,1
203,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5
204,So You've Been Publicly Shamed,12.23,2
205,Rip it Up and Start Again,35.02,5
206,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3
207,How Music Works,37.32,2
208,Love Is a Mix Tape (Music #1),18.03,1
209,Please Kill Me: The Uncensored Oral History of Punk,31.19,4
210,Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5
211,"Chronicles, Vol. 1",52.6,2
212,This Is Your Brain on Music: The Science of a Human Obsession,38.4,1
213,"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,3
214,No One Here Gets Out Alive,20.02,5
215,Life,31.58,5
216,Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,2
217,Forever Rockers (The Rocker #12),28.8,3
218,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3
219,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4
220,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2
221,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3
222,Aladdin and His Wonderful Lamp,53.13,3
223,Penny Maybe,33.29,3
224,Maude (1883-1993):She Grew Up with the country,18.02,2
225,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5
226,Soul Reader,39.58,2
227,Bossypants,49.46,2
228,A World of Flavor: Your Gluten Free Passport,42.95,1
229,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5
230,Tracing Numbers on a Train,41.6,3
231,Thirteen Reasons Why,52.72,1
232,The Secret (The Secret #1),27.37,4
233,The Psychopath Test: A Journey Through the Madness Industry,36.0,2
234,The Kite Runner,41.82,4
235,The Girl on the Train,55.02,2
236,The Emerald Mystery,23.15,2
237,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3
238,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1
239,Join,35.67,5
240,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4
241,The Project,10.65,1
242,Soft Apocalypse,26.12,2
243,Sleeping Giants (Themis Files #1),48.74,1
244,Arena,21.36,4
245,Foundation (Foundation (Publication Order) #1),32.42,1
246,The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1
247,Ready Player One,19.07,4
248,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2
249,Dune (Dune #1),54.86,1
250,Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1
251,Three Wishes (River of Time: California #1),44.18,2
252,The Last Girl (The Dominion Trilogy #1),36.26,2
253,Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,4
254,The Book of Basketball: The NBA According to The Sports Guy,44.84,5
255,"Friday Night Lights: A Town, a Team, and a Dream",51.22,3
256,Sugar Rush (Offensive Line #2),24.42,1
257,Settling the Score (The Summer Games #1),44.91,2
258,Icing (Aces Hockey #2),40.44,4
259,The Torch Is Passed: A Harding Family Story,19.09,1
260,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4
261,The Art Forger,40.76,3
262,On a Midnight Clear,14.07,3
263,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2
264,"Shobu Samurai, Project Aryoku (#3)",29.06,3
265,Modern Romance,28.26,5
266,The White Queen (The Cousins' War #1),25.91,5
267,The Song of Achilles,37.4,5
268,The Immortal Life of Henrietta Lacks,40.67,2
269,The Dovekeepers,48.78,1
270,More Than Music (Chasing the Dream #1),37.61,2
271,Code Name Verity (Code Name Verity #1),22.13,4
272,Cell,20.29,4
273,Angels Walking (Angels Walking #1),34.2,2
274,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2
275,A People's History of the United States,40.79,2
276,A Brush of Wings (Angels Walking #3),55.51,1
277,Rook,37.86,4
278,The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1
279,Unicorn Tracks,18.78,3
280,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3
281,Princess Between Worlds (Wide-Awake Princess #5),13.34,5
282,Masks and Shadows,56.4,2
283,Crown of Midnight (Throne of Glass #2),43.29,3
284,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2
285,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1
286,Throne of Glass (Throne of Glass #1),35.07,3
287,The Glittering Court (The Glittering Court #1),44.28,1
288,Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1
289,The Star-Touched Queen,46.02,5
290,The Hidden Oracle (The Trials of Apollo #1),52.26,2
291,The Bane Chronicles (The Bane Chronicles #1-11),44.73,4
292,Island of Dragons (Unwanteds #7),29.65,1
293,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5
294,City of Glass (The Mortal Instruments #3),56.02,4
295,Searching for Meaning in Gailana,38.73,1
296,The Star-Touched Queen,32.3,5
297,A Shard of Ice (The Black Symphony Saga #1),56.63,3
298,King's Folly (The Kinsman Chronicles #1),39.61,5
299,Without Borders (Wanderlove #1),45.07,2
300,The Mistake (Off-Campus #2),43.29,3
301,The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1
302,The Hook Up (Game On #1),36.29,5
303,Shameless,58.35,3
304,Off Sides (Off #1),39.45,5
305,The Requiem Red,22.65,1
306,Set Me Free,17.46,5
307,The Natural History of Us (The Fine Art of Pretending #2),45.22,3
308,Obsidian (Lux #1),14.86,2
309,Burning,28.81,3
310,A Fierce and Subtle Poison,28.13,4
311,Scarlett Epstein Hates It Here,43.55,5
312,"Nightingale, Sing",38.28,1
313,Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5
314,Frostbite (Vampire Academy #2),29.99,5
315,Wild Swans,14.36,2
316,Until Friday Night (The Field Party #1),46.31,2
317,This Is Where It Ends,27.12,2
318,The Darkest Lie,35.35,5
319,My Kind of Crazy,40.36,1
320,Don't Get Caught,55.35,1
321,Catching Jordan (Hundred Oaks),50.83,3
322,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4
323,The Epidemic (The Program 0.6),14.44,5
324,Stars Above (The Lunar Chronicles #4.5),48.05,2
325,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4
326,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5
327,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4
328,Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1
329,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,1
330,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,1
331,The Origin of Species,10.01,4
332,The Grand Design,13.76,3
333,Peak: Secrets from the New Science of Expertise,16.28,2
334,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,4
335,"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,5
336,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,2
337,Seven Brief Lessons on Physics,30.6,4
338,The Selfish Gene,29.45,1
339,A Light in the Attic,51.77,3
340,The Black Maria,52.15,1
341,Shakespeare's Sonnets,20.66,4
342,Olio,23.88,1
343,You can't bury them all: Poems,33.63,2
344,Slow States of Collapse: Poems,57.31,3
345,Untitled Collection: Sabbath Poems 2014,14.27,4
346,Poems That Make Grown Women Cry,14.19,4
347,Night Sky with Exit Wounds,41.05,1
348,salt.,46.78,4
349,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5
350,Out of Print: City Lights Spotlight No. 14,53.64,5
351,Les Fleurs du Mal,29.04,5
352,Howl and Other Poems,40.45,2
353,Leave This Song Behind: Teen Poetry at Its Best,51.17,5
354,The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5
355,The Crossover,38.77,4
356,Booked,17.49,5
357,Twenty Love Poems and a Song of Despair,30.95,4
358,"Vampire Knight, Vol. 1 (Vampire Knight #1)",15.4,1
359,Wall and Piece,44.18,4
360,Feathers: Displays of Brilliant Plumage,49.05,3
361,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,4
362,The New Drawing on the Right Side of the Brain,43.02,3
363,History of Beauty,10.29,4
364,The Story of Art,41.14,4
365,The Art Book,32.34,2
366,Ways of Seeing,39.51,5
367,The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1
368,The Golden Condom: And Other Essays on Love Lost and Found,39.43,1
369,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,3
370,An Unquiet Mind: A Memoir of Moods and Madness,21.3,3
371,"Thinking, Fast and Slow",21.14,1
372,Civilization and Its Discontents,59.95,2
373,8 Keys to Mental Health Through Exercise,31.04,1
374,The Argonauts,10.93,2
375,M Train,27.18,1
376,Lab Girl,40.85,1
377,Approval Junkie: Adventures in Caring Too Much,58.81,5
378,Running with Scissors,12.91,4
379,Me Talk Pretty One Day,57.6,2
380,Lust & Wonder,11.87,2
381,Life Without a Recipe,59.04,5
382,A Heartbreaking Work of Staggering Genius,54.29,5
383,Catastrophic Happiness: Finding Joy in Childhood's Messy Years,37.35,2
384,Fifty Shades Freed (Fifty Shades #3),15.36,5
385,The Long Haul (Diary of a Wimpy Kid #9),44.07,1
386,Old School (Diary of a Wimpy Kid #10),11.83,5
387,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4
388,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5
389,Dress Your Family in Corduroy and Denim,43.68,3
390,Toddlers Are A**holes: It's Not Your Fault,25.55,1
391,When You Are Engulfed in Flames,30.89,5
392,Naked,31.69,3
393,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5,5
394,Holidays on Ice,51.07,2
395,Security,39.25,2
396,Follow You Home,21.36,1
397,The Loney,23.4,1
398,Pet Sematary,10.56,3
399,Doctor Sleep (The Shining #2),40.12,2
400,Psycho: Sanitarium (Psycho #1.5),36.97,5
401,Can You Keep a Secret? (Fear Street Relaunch #4),48.64,1
402,Red Dragon (Hannibal Lecter #1),23.37,3
403,Dracula the Un-Dead,35.63,5
404,Night Shift (Night Shift #1-20),12.75,4
405,Needful Things,47.51,4
406,Misery,34.79,2
407,It,25.01,3
408,'Salem's Lot,49.56,4
409,The Stand,57.86,2
410,The Girl with All the Gifts,49.47,3
411,House of Leaves,54.89,1
412,Sapiens: A Brief History of Humankind,54.23,5
413,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1
414,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1
415,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2
416,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1
417,Zealot: The Life and Times of Jesus of Nazareth,24.7,3
418,A Distant Mirror: The Calamitous 14th Century,14.58,3
419,1491: New Revelations of the Americas Before Columbus,21.8,3
420,Brilliant Beacons: A History of the American Lighthouse,11.45,3
421,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5
422,A Short History of Nearly Everything,52.4,5
423,The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,2
424,Catherine the Great: Portrait of a Woman,58.55,4
425,The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,5
426,The Hiding Place,55.91,4
427,America's War for the Greater Middle East: A Military History,51.22,2
428,The Guns of August,14.54,2
429,"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,2
430,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3
431,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1
432,My Paris Kitchen: Recipes and Stories,33.37,2
433,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4
434,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1
435,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5
436,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2
437,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1
438,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3
439,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3
440,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1
441,Barefoot Contessa Back to Basics,28.01,1
442,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5
443,My Kitchen Year: 136 Recipes That Saved My Life,11.53,2
444,Everyday Italian: 125 Simple and Delicious Recipes,20.1,5
445,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,1
446,Cravings: Recipes for What You Want to Eat,20.5,3
447,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4
448,32 Yolks,53.63,2
449,"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,5
450,Redeeming Love,20.47,5
451,Close to You,49.46,4
452,Shadows of the Past (Logan Point #1),39.67,5
453,Like Never Before (Walker Family #2),28.77,2
454,Counted With the Stars (Out from Egypt #1),17.97,5
455,If I Run (If I Run #1),49.97,4
456,The Dirty Little Secrets of Getting Your Dream Job,33.34,4
457,The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5
458,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3
459,Shoe Dog: A Memoir by the Creator of NIKE,23.99,2
460,Made to Stick: Why Some Ideas Survive and Others Die,38.85,5
461,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1
462,The Art of Startup Fundraising,21.0,3
463,Born for This: How to Find the Work You Were Meant to Do,21.59,5
464,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,1
465,"Rich Dad, Poor Dad",51.74,1
466,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,3
467,Rework,44.88,2
468,Louisa: The Extraordinary Life of Mrs. Adams,16.85,2
469,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,2
470,The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55,1
471,Benjamin Franklin: An American Life,48.19,3
472,The Rise of Theodore Roosevelt (Theodore Roosevelt #1),42.57,3
473,In Her Wake,12.84,1
474,The Elephant Tree,23.82,5
475,Behind Closed Doors,52.22,4
476,You (You #1),43.61,5
477,The Guilty (Will Robie #4),13.82,2
478,The 14th Colony (Cotton Malone #11),39.24,1
479,Give It Back,18.32,2
480,Killing Floor (Jack Reacher #1),31.49,4
481,The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,3
482,Far From True (Promise Falls Trilogy #2),34.93,2
483,The Travelers,15.77,1
484,When We Collided,31.77,1
485,Someone Like You (The Harrisons #2),52.79,5
486,We Are All Completely Beside Ourselves,24.04,1
487,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5
488,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5
489,Chasing Heaven: What Dying Taught Me About Living,37.8,2
490,If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,1
491,Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,2
492,A New Earth: Awakening to Your Life's Purpose,55.65,5
493,Logan Kade (Fallen Crest High #5.5),13.12,2
494,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1
495,How to Be Miserable: 40 Strategies You Already Use,46.03,1
496,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3
497,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,3
498,How to Stop Worrying and Start Living,46.49,5
499,All the Light We Cannot See,29.87,5
500,The Girl You Left Behind (The Girl You Left Behind #1),15.79,1
501,(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5
502,Crazy Love: Overwhelmed by a Relentless God,47.72,2
503,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77,1
504,Silence in the Dark (Logan Point #4),58.33,3
505,The Grownup,35.88,1
506,Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,5
